"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"D2","DO219AB-SMF-P_ReflowSoldering","176.25mil","2905.63mil","176.25mil","2905.63mil","233.337mil","2905.63mil","T","360.00","SMF5V0A-GS08"
"D1","DO219AB-SMF-P_ReflowSoldering","176.25mil","3011.88mil","176.25mil","3011.88mil","233.337mil","3011.88mil","T","360.00","SMF5V0A-GS08"
"D45","DO219AB-SMF-P_ReflowSoldering","7395mil","2705mil","7395mil","2705mil","7452.087mil","2705mil","T","360.00","SMF5V0A-GS08"
"D43","DO219AB-SMF-P_ReflowSoldering","8030mil","2795mil","8030mil","2795mil","8087.087mil","2795mil","T","360.00","SMF5V0A-GS08"
"D41","DO219AB-SMF-P_ReflowSoldering","7190mil","2615mil","7190mil","2615mil","7247.087mil","2615mil","T","360.00","SMF5V0A-GS08"
"D39","DO219AB-SMF-P_ReflowSoldering","8245mil","2795mil","8245mil","2795mil","8302.087mil","2795mil","T","360.00","SMF5V0A-GS08"
"D37","DO219AB-SMF-P_ReflowSoldering","6985mil","2525mil","6985mil","2525mil","7042.087mil","2525mil","T","360.00","SMF5V0A-GS08"
"D35","DO219AB-SMF-P_ReflowSoldering","8460mil","2795mil","8460mil","2795mil","8517.087mil","2795mil","T","360.00","SMF5V0A-GS08"
"D33","DO219AB-SMF-P_ReflowSoldering","6480mil","2450mil","6480mil","2450mil","6480mil","2392.913mil","T","270.00","SMF5V0A-GS08"
"D31","DO219AB-SMF-P_ReflowSoldering","6475mil","2220mil","6475mil","2220mil","6475mil","2162.913mil","T","270.00","SMF5V0A-GS08"
"D29","DO219AB-SMF-P_ReflowSoldering","6005mil","2220mil","6005mil","2220mil","6005mil","2162.913mil","T","270.00","SMF5V0A-GS08"
"D23","DO219AB-SMF-P_ReflowSoldering","5535mil","2220mil","5535mil","2220mil","5535mil","2162.913mil","T","270.00","SMF5V0A-GS08"
"D22","DO219AB-SMF-P_ReflowSoldering","5170mil","2405mil","5170mil","2405mil","5227.087mil","2405mil","T","360.00","SMF5V0A-GS08"
"D20","DO219AB-SMF-P_ReflowSoldering","5375mil","2405mil","5375mil","2405mil","5432.087mil","2405mil","T","360.00","SMF5V0A-GS08"
"D18","DO219AB-SMF-P_ReflowSoldering","4965mil","2405mil","4965mil","2405mil","4907.913mil","2405mil","T","180.00","SMF5V0A-GS08"
"D12","DO219AB-SMF-P_ReflowSoldering","4760mil","2405mil","4760mil","2405mil","4702.913mil","2405mil","T","180.00","SMF5V0A-GS08"
"D10","DO219AB-SMF-P_ReflowSoldering","4325mil","2370mil","4325mil","2370mil","4325mil","2312.913mil","T","270.00","SMF5V0A-GS08"
"D19","DO219AB-SMF-P_ReflowSoldering","4325mil","2175mil","4325mil","2175mil","4325mil","2117.913mil","T","270.00","SMF5V0A-GS08"
"D16","DO219AB-SMF-P_ReflowSoldering","4325mil","2955mil","4325mil","2955mil","4325mil","2897.913mil","T","270.00","SMF5V0A-GS08"
"D13","DO219AB-SMF-P_ReflowSoldering","4325mil","2565mil","4325mil","2565mil","4325mil","2507.913mil","T","270.00","SMF5V0A-GS08"
"D11","DO219AB-SMF-P_ReflowSoldering","4325mil","2760mil","4325mil","2760mil","4325mil","2702.913mil","T","270.00","SMF5V0A-GS08"
"D32","SOT23_3L_ReflowSoldering","6837.5mil","1956.25mil","6837.5mil","1956.25mil","6799.114mil","1912.943mil","T","270.00","BAT54C"
"D30","SOT23_3L_ReflowSoldering","6437.5mil","1956.25mil","6437.5mil","1956.25mil","6399.114mil","1912.943mil","T","270.00","BAT54C"
"D48","DO219AB-SMF-P_ReflowSoldering","7610mil","2705mil","7610mil","2705mil","7667.087mil","2705mil","T","360.00","SMF5V0A-GS08"
"D46","DO219AB-SMF-P_ReflowSoldering","7815mil","2795mil","7815mil","2795mil","7872.087mil","2795mil","T","360.00","SMF5V0A-GS08"
"D44","SOT23_3L_ReflowSoldering","9475mil","1875mil","9475mil","1875mil","9436.614mil","1831.693mil","T","270.00","BAT54C"
"D42","SOT23_3L_ReflowSoldering","8875mil","1875mil","8875mil","1875mil","8836.614mil","1831.693mil","T","270.00","BAT54C"
"D26","SOT23_3L_ReflowSoldering","5075mil","1876.772mil","5075mil","1876.772mil","5036.614mil","1833.465mil","T","270.00","BAT54C"
"D25","SOT23_3L_ReflowSoldering","4475mil","1876.772mil","4475mil","1876.772mil","4436.614mil","1833.465mil","T","270.00","BAT54C"
"D21","SOT23_3L_ReflowSoldering","3043.75mil","1876.772mil","3043.75mil","1876.772mil","3005.364mil","1833.465mil","T","270.00","BAT54C"
